epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4316.37,2.15498,4.32213,3.70649,2.09404,0.56356,0.03183,0.02637,0.01298,0.56313,0.02704,0.02114,0.00885,2.17511,4.31006,3.54705,2.18402,8.60132e-05,8.60132e-05,8.60132e-05
30,4464.85,2.14573,4.32705,3.68265,2.08878,0.53169,0.03478,0.02772,0.01358,0.55855,0.0286,0.02299,0.0095,2.17718,4.29431,3.53974,2.17879,8.48351e-05,8.48351e-05,8.48351e-05
31,4613.78,2.13634,4.32649,3.66228,2.08125,0.52743,0.03393,0.02523,0.01175,0.52413,0.02989,0.02126,0.0086,2.17849,4.28392,3.51729,2.15457,8.3657e-05,8.3657e-05,8.3657e-05
32,4762.2,2.13808,4.31046,3.65873,2.06775,0.47694,0.03522,0.02852,0.01434,0.47198,0.0298,0.02429,0.01025,2.1584,4.26611,3.49069,2.14155,8.24789e-05,8.24789e-05,8.24789e-05
33,4910.85,2.11881,4.29247,3.64527,2.06184,0.5009,0.03689,0.02968,0.01469,0.48885,0.03175,0.02455,0.01027,2.14928,4.25925,3.46677,2.14214,8.13008e-05,8.13008e-05,8.13008e-05
34,5059.03,2.11417,4.28566,3.61924,2.0565,0.45285,0.03671,0.0322,0.01622,0.44907,0.03245,0.02728,0.01138,2.14311,4.24377,3.44936,2.13631,8.01227e-05,8.01227e-05,8.01227e-05
35,5207.36,2.09848,4.27033,3.60301,2.04362,0.43178,0.04216,0.03322,0.01726,0.44256,0.03633,0.02938,0.01227,2.13883,4.23817,3.44551,2.12245,7.89446e-05,7.89446e-05,7.89446e-05
36,5356.05,2.10236,4.26827,3.60654,2.03346,0.46761,0.04545,0.03504,0.01834,0.47454,0.03618,0.02972,0.01204,2.13383,4.23648,3.43497,2.11968,7.77665e-05,7.77665e-05,7.77665e-05
37,5504.37,2.09462,4.24484,3.58356,2.03315,0.49281,0.04405,0.03471,0.01746,0.50494,0.03759,0.03005,0.01189,2.12265,4.22104,3.43636,2.11222,7.65884e-05,7.65884e-05,7.65884e-05
38,5652.35,2.08705,4.25298,3.57574,2.02803,0.49105,0.04926,0.03562,0.01852,0.48646,0.04089,0.02889,0.01213,2.11006,4.20414,3.40468,2.09933,7.54103e-05,7.54103e-05,7.54103e-05
39,5800.13,2.07167,4.23317,3.56921,2.01757,0.40631,0.04686,0.03792,0.01961,0.44565,0.03872,0.03194,0.0136,2.10626,4.20489,3.38206,2.0859,7.42322e-05,7.42322e-05,7.42322e-05
40,5948.08,2.07039,4.21963,3.54271,2.01041,0.48702,0.04763,0.0379,0.01956,0.47744,0.0408,0.03076,0.0132,2.09854,4.19015,3.36939,2.07775,7.30541e-05,7.30541e-05,7.30541e-05
41,6095.88,2.06033,4.20926,3.51918,2.00294,0.48604,0.05318,0.03844,0.01974,0.48053,0.04558,0.03297,0.01375,2.11367,4.18341,3.36311,2.08048,7.1876e-05,7.1876e-05,7.1876e-05
42,6244.05,2.06632,4.21668,3.50437,1.99752,0.44574,0.05157,0.04027,0.02087,0.43789,0.04511,0.03269,0.01382,2.08582,4.17404,3.35073,2.06894,7.06979e-05,7.06979e-05,7.06979e-05
43,6391.48,2.04409,4.19594,3.50981,1.99072,0.48469,0.05742,0.04147,0.02159,0.4776,0.04927,0.03507,0.0145,2.08255,4.17386,3.34121,2.07207,6.95198e-05,6.95198e-05,6.95198e-05
44,6539.47,2.05075,4.18058,3.48913,1.98957,0.49304,0.05371,0.04261,0.02274,0.48677,0.04725,0.03685,0.01585,2.08684,4.16655,3.33695,2.05876,6.83417e-05,6.83417e-05,6.83417e-05
45,6687.46,2.05223,4.18247,3.48679,1.97669,0.47849,0.06263,0.04333,0.02287,0.47143,0.0557,0.03652,0.01553,2.07528,4.14751,3.31006,2.042,6.71636e-05,6.71636e-05,6.71636e-05
46,6835.4,2.06493,4.18815,3.4592,1.97746,0.47431,0.05774,0.04168,0.02192,0.46828,0.05141,0.03553,0.01558,2.08476,4.14631,3.3041,2.04349,6.59855e-05,6.59855e-05,6.59855e-05
47,6983.31,2.04694,4.1631,3.45701,1.96687,0.47163,0.06364,0.04582,0.02399,0.45924,0.05411,0.03621,0.01637,2.07204,4.14038,3.3005,2.0458,6.48074e-05,6.48074e-05,6.48074e-05
48,7131.19,2.02798,4.15664,3.4445,1.97111,0.47973,0.06392,0.04346,0.02309,0.4606,0.0597,0.03767,0.01684,2.07048,4.13121,3.29114,2.0373,6.36293e-05,6.36293e-05,6.36293e-05
