epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,5021.05,1.39791,3.60602,0.34801,1.23943,1.31315,0.72329,0.53125,0.6148,0.36437,0.57814,0.31411,0.28776,0.1079,1.42969,2.96468,0.31748,1.20368,1.33007,0.0014852,0.0014852,0.0014852
28,5202.27,1.38818,3.56995,0.34295,1.2444,1.30381,0.7539,0.53598,0.62741,0.37708,0.59077,0.32342,0.29925,0.11607,1.40762,2.88011,0.31267,1.16166,1.3088,0.0014654,0.0014654,0.0014654
29,5383.09,1.38421,3.55108,0.34348,1.23501,1.30309,0.72211,0.54097,0.62387,0.3788,0.62944,0.32074,0.30756,0.11741,1.3807,2.90258,0.32438,1.16244,1.2929,0.0014456,0.0014456,0.0014456
30,5563.89,1.40097,3.52974,0.34312,1.23904,1.31092,0.73721,0.53856,0.62651,0.3818,0.6326,0.33417,0.31854,0.12664,1.39216,2.84043,0.31003,1.16093,1.30294,0.0014258,0.0014258,0.0014258
31,5744.81,1.37552,3.51763,0.34055,1.21718,1.29956,0.7446,0.54602,0.6329,0.38592,0.5847,0.32987,0.30126,0.12048,1.37292,2.82632,0.31302,1.15985,1.2891,0.001406,0.001406,0.001406
32,5925.71,1.37937,3.53292,0.34261,1.2217,1.30418,0.7428,0.54331,0.6362,0.38609,0.62848,0.33184,0.31647,0.12753,1.387,2.78261,0.30947,1.14709,1.29601,0.0013862,0.0013862,0.0013862
33,6106.87,1.36728,3.51687,0.3386,1.21377,1.29784,0.74002,0.54352,0.63718,0.38889,0.60656,0.33202,0.31012,0.12213,1.37826,2.82486,0.32121,1.14265,1.29437,0.0013664,0.0013664,0.0013664
34,6287.8,1.37358,3.45699,0.33882,1.20841,1.29239,0.74529,0.54574,0.63751,0.3918,0.6274,0.33247,0.31441,0.12659,1.36771,2.78883,0.30928,1.1309,1.28227,0.0013466,0.0013466,0.0013466
35,6468.66,1.36039,3.47936,0.33764,1.20212,1.29104,0.74356,0.55301,0.6428,0.39469,0.62836,0.33721,0.32103,0.12955,1.36476,2.75616,0.30946,1.11902,1.27571,0.0013268,0.0013268,0.0013268
36,6648.91,1.3527,3.44535,0.33286,1.19027,1.28505,0.74903,0.54799,0.63982,0.39306,0.62697,0.33462,0.31867,0.13008,1.35283,2.75254,0.31053,1.11876,1.26901,0.001307,0.001307,0.001307
37,6829.81,1.34296,3.45553,0.33856,1.18098,1.28359,0.75384,0.54728,0.64433,0.39724,0.61943,0.33533,0.325,0.13171,1.35268,2.731,0.31186,1.11074,1.27609,0.0012872,0.0012872,0.0012872
